Card Name	Set Code	Set Number	SKU	Rarity	Price (USD)
Abandoned Campground	DSK	255	DSK255	Common	$0.12
Abhorrent Oculus	DSK	42	DSK042	Mythic	$14.22
Acrobatic Cheerleader	DSK	1	DSK001	Common	$0.04
A-Kona, Rescue Beastie	DSK	A-187	DSKA-187	Rare	N/A
A-Leyline of Resonance	DSK	A-143	DSKA-143	Rare	N/A
Altanak, the Thrice-Called	DSK	166	DSK166	Uncommon	$0.20
Anthropede	DSK	167	DSK167	Common	$0.05
Appendage Amalgam	DSK	83	DSK083	Common	$0.16
Arabella, Abandoned Doll	DSK	208	DSK208	Uncommon	$0.44
Attack-in-the-Box	DSK	242	DSK242	Uncommon	$0.07
Balemurk Leech	DSK	84	DSK084	Common	$0.22
Balustrade Wurm	DSK	168	DSK168	Rare	$0.26
Baseball Bat	DSK	209	DSK209	Uncommon	$0.08
Bashful Beastie	DSK	169	DSK169	Common	$0.03
Bear Trap	DSK	243	DSK243	Common	$0.15
Beastie Beatdown	DSK	210	DSK210	Uncommon	$0.12
Bedhead Beastie	DSK	125	DSK125	Common	$0.05
Betrayer's Bargain	DSK	126	DSK126	Uncommon	$0.08
Blazemire Verge	DSK	256	DSK256	Rare	$11.65
Bleeding Woods	DSK	257	DSK257	Common	$0.20
Boilerbilges Ripper	DSK	127	DSK127	Common	$0.05
Bottomless Pool // Locker Room	DSK	43	DSK043	Uncommon	$0.18
Break Down the Door	DSK	170	DSK170	Uncommon	$0.15
Broodspinner	DSK	211	DSK211	Uncommon	$0.22
Cackling Slasher	DSK	85	DSK085	Common	$0.03
Cathartic Parting	DSK	171	DSK171	Uncommon	$0.14
Cautious Survivor	DSK	172	DSK172	Common	$0.07
Central Elevator // Promising Stairs	DSK	44	DSK044	Rare	$0.23
Chainsaw	DSK	128	DSK128	Rare	$0.70
Charred Foyer // Warped Space	DSK	129	DSK129	Mythic	$2.76
Clammy Prowler	DSK	45	DSK045	Common	$0.10
Clockwork Percussionist	DSK	130	DSK130	Common	$0.20
Come Back Wrong	DSK	86	DSK086	Rare	$0.33
Commune with Evil	DSK	87	DSK087	Uncommon	$0.18
Conductive Machete	DSK	244	DSK244	Uncommon	$0.11
Coordinated Clobbering	DSK	173	DSK173	Uncommon	$0.10
Cracked Skull	DSK	88	DSK088	Common	$0.10
Creeping Peeper	DSK	46	DSK046	Common	$0.04
Cryptid Inspector	DSK	174	DSK174	Common	$0.09
Cult Healer	DSK	2	DSK002	Common	$0.08
