Last Updated: 2026-03-07 00:47:32
Card Name	Set Code	Set Number	SKU	Rarity	Price (USD)
Abandoned Campground	DSK	255	DSK255	Common	$0.14
Abhorrent Oculus	DSK	42	DSK042	Mythic	$13.90
Acrobatic Cheerleader	DSK	1	DSK001	Common	$0.04
A-Kona, Rescue Beastie	DSK	A-187	DSKA-187	Rare	N/A
A-Leyline of Resonance	DSK	A-143	DSKA-143	Rare	N/A
Altanak, the Thrice-Called	DSK	166	DSK166	Uncommon	$0.21
Anthropede	DSK	167	DSK167	Common	$0.05
Appendage Amalgam	DSK	83	DSK083	Common	$0.21
Arabella, Abandoned Doll	DSK	208	DSK208	Uncommon	$0.44
Attack-in-the-Box	DSK	242	DSK242	Uncommon	$0.08
Balemurk Leech	DSK	84	DSK084	Common	$0.21
Balustrade Wurm	DSK	168	DSK168	Rare	$0.26
Baseball Bat	DSK	209	DSK209	Uncommon	$0.08
Bashful Beastie	DSK	169	DSK169	Common	$0.03
Bear Trap	DSK	243	DSK243	Common	$0.17
Beastie Beatdown	DSK	210	DSK210	Uncommon	$0.17
Bedhead Beastie	DSK	125	DSK125	Common	$0.05
Betrayer's Bargain	DSK	126	DSK126	Uncommon	$0.09
Blazemire Verge	DSK	256	DSK256	Rare	$10.78
Bleeding Woods	DSK	257	DSK257	Common	$0.22
Boilerbilges Ripper	DSK	127	DSK127	Common	$0.05
Bottomless Pool // Locker Room	DSK	43	DSK043	Uncommon	$0.15
Break Down the Door	DSK	170	DSK170	Uncommon	$0.14
Broodspinner	DSK	211	DSK211	Uncommon	$0.21
Cackling Slasher	DSK	85	DSK085	Common	$0.04
Cathartic Parting	DSK	171	DSK171	Uncommon	$0.15
Cautious Survivor	DSK	172	DSK172	Common	$0.07
Central Elevator // Promising Stairs	DSK	44	DSK044	Rare	$0.23
Chainsaw	DSK	128	DSK128	Rare	$0.66
Charred Foyer // Warped Space	DSK	129	DSK129	Mythic	$2.53
Clammy Prowler	DSK	45	DSK045	Common	$0.11
Clockwork Percussionist	DSK	130	DSK130	Common	$0.19
Come Back Wrong	DSK	86	DSK086	Rare	$0.33
Commune with Evil	DSK	87	DSK087	Uncommon	$0.18
Conductive Machete	DSK	244	DSK244	Uncommon	$0.11
Coordinated Clobbering	DSK	173	DSK173	Uncommon	$0.10
Cracked Skull	DSK	88	DSK088	Common	$0.11
Creeping Peeper	DSK	46	DSK046	Common	$0.04
Cryptid Inspector	DSK	174	DSK174	Common	$0.10
Cult Healer	DSK	2	DSK002	Common	$0.08
Cursed Recording	DSK	131	DSK131	Rare	$0.19
Cursed Windbreaker	DSK	47	DSK047	Uncommon	$0.07
Cynical Loner	DSK	89	DSK089	Uncommon	$0.24
Daggermaw Megalodon	DSK	48	DSK048	Common	$0.21
Dashing Bloodsucker	DSK	90	DSK090	Uncommon	$0.10
Dazzling Theater // Prop Room	DSK	3	DSK003	Rare	$0.86
Defiant Survivor	DSK	175	DSK175	Uncommon	$0.06
Defiled Crypt // Cadaver Lab	DSK	91	DSK091	Uncommon	$0.21
Demonic Counsel	DSK	92	DSK092	Rare	$1.69
Derelict Attic // Widow's Walk	DSK	93	DSK093	Common	$0.17
Dissection Tools	DSK	245	DSK245	Rare	$0.29
Disturbing Mirth	DSK	212	DSK212	Uncommon	$0.11
Diversion Specialist	DSK	132	DSK132	Uncommon	$0.08
Dollmaker's Shop // Porcelain Gallery	DSK	4	DSK004	Mythic	$4.81
Don't Make a Sound	DSK	49	DSK049	Common	$0.21
Doomsday Excruciator	DSK	94	DSK094	Rare	$1.41
Drag to the Roots	DSK	213	DSK213	Uncommon	$0.22
Duskmourn's Domination	DSK	50	DSK050	Uncommon	$0.03
Emerge from the Cocoon	DSK	5	DSK005	Common	$0.11
Enduring Courage	DSK	133	DSK133	Rare	$2.27
Enduring Curiosity	DSK	51	DSK051	Rare	$9.57
Enduring Innocence	DSK	6	DSK006	Rare	$5.17
Enduring Tenacity	DSK	95	DSK095	Rare	$4.92
Enduring Vitality	DSK	176	DSK176	Rare	$7.09
Enter the Enigma	DSK	52	DSK052	Common	$0.19
Entity Tracker	DSK	53	DSK053	Rare	$0.83
Erratic Apparition	DSK	54	DSK054	Common	$0.05
Etched Cornfield	DSK	258	DSK258	Common	$0.17
Ethereal Armor	DSK	7	DSK007	Uncommon	$0.33
Exorcise	DSK	8	DSK008	Uncommon	$0.30
Fanatic of the Harrowing	DSK	96	DSK096	Common	$0.14
Fear of Abduction	DSK	9	DSK009	Uncommon	$0.08
Fear of Being Hunted	DSK	134	DSK134	Uncommon	$0.12
Fear of Burning Alive	DSK	135	DSK135	Uncommon	$0.28
Fear of Exposure	DSK	177	DSK177	Uncommon	$0.10
Fear of Failed Tests	DSK	55	DSK055	Uncommon	$0.18
Fear of Falling	DSK	56	DSK056	Uncommon	$0.07
Fear of Immobility	DSK	10	DSK010	Common	$0.05
Fear of Impostors	DSK	57	DSK057	Uncommon	$0.28
Fear of Infinity	DSK	214	DSK214	Uncommon	$0.28
Fear of Isolation	DSK	58	DSK058	Uncommon	$0.27
Fear of Lost Teeth	DSK	97	DSK097	Common	$0.15
Fear of Missing Out	DSK	136	DSK136	Rare	$3.85
Fear of Surveillance	DSK	11	DSK011	Common	$0.10
Fear of the Dark	DSK	98	DSK098	Common	$0.16
Final Vengeance	DSK	99	DSK099	Common	$0.11
Flesh Burrower	DSK	178	DSK178	Common	$0.19
Floodfarm Verge	DSK	259	DSK259	Rare	$10.84
Floodpits Drowner	DSK	59	DSK059	Uncommon	$0.83
Forest	DSK	285	DSK285	Common	$0.13
Found Footage	DSK	246	DSK246	Common	$0.04
Frantic Strength	DSK	179	DSK179	Common	$0.09
Friendly Ghost	DSK	12	DSK012	Common	$0.10
Friendly Teddy	DSK	247	DSK247	Common	$0.20
Funeral Room // Awakening Hall	DSK	100	DSK100	Mythic	$5.39
Get Out	DSK	60	DSK060	Uncommon	$0.33
Ghostly Dancers	DSK	13	DSK013	Rare	$0.34
Ghostly Keybearer	DSK	61	DSK061	Uncommon	$0.12
Ghost Vacuum	DSK	248	DSK248	Rare	$2.14
Give In to Violence	DSK	101	DSK101	Common	$0.08
Glassworks // Shattered Yard	DSK	137	DSK137	Common	$0.17
Glimmerburst	DSK	62	DSK062	Common	$0.08
Glimmerlight	DSK	249	DSK249	Common	$0.09
Glimmer Seeker	DSK	14	DSK014	Uncommon	$0.06
